id,pasajero_id,conductor_id,vehiculo_id,tarifa_id,estado,metodo_pago,distrito_origen,distrito_destino,direccion_origen,direccion_destino,distancia_km,duracion_min,monto_total,solicitado_en,iniciado_en,finalizado_en
11,16697,143,143,1,finalizado,tarjeta,Barranco,Surco,Urbanización Bernardo Neira 9,Plaza Calisto Barral 11,25.26,73,50.04,2026-06-04 15:52:00,2026-06-04 15:59:00,2026-06-04 17:12:00
12,2082,94,94,3,finalizado,tarjeta,Jesús María,Pueblo Libre,Pasadizo Jordán Lopez 93 Apt. 99 ,Cuesta Noemí Ramírez 21 Puerta 6 ,18.02,65,72.39,2026-04-09 22:07:00,2026-04-09 22:10:00,2026-04-09 23:15:00
13,3754,391,391,2,finalizado,billetera,Miraflores,Callao,Ronda de Adelia Balaguer 1 Piso 5 ,Glorieta Goyo Sanabria 36,7.94,25,25.01,2026-08-18 09:52:00,2026-08-18 10:01:00,2026-08-18 10:26:00
14,16404,550,550,3,finalizado,efectivo,Miraflores,La Molina,Urbanización de Sandra Benet 28 Apt. 80 ,Rambla Santos Torralba 73,9.07,22,53.38,2026-07-02 20:29:00,2026-07-02 20:31:00,2026-07-02 20:53:00
15,17379,520,520,3,finalizado,efectivo,Surco,Magdalena,C. Abilio Portero 57,Vial de Goyo Martin 90 Apt. 50 ,17.52,43,61.51,2026-06-17 15:51:00,2026-06-17 16:00:00,2026-06-17 16:43:00
16,1899,332,332,2,finalizado,efectivo,La Molina,Barranco,Pasadizo de Zaira Criado 9,Avenida Dulce Bayo 26,24.75,91,70.51,2026-04-10 17:30:00,2026-04-10 17:36:00,2026-04-10 19:07:00
17,4208,581,581,4,finalizado,billetera,Magdalena,Surco,Avenida Simón Yáñez 44,Callejón Ruy Castro 67 Apt. 07 ,23.07,91,116.42,2026-04-01 04:27:00,2026-04-01 04:35:00,2026-04-01 06:06:00
18,6592,487,487,4,finalizado,billetera,Barranco,Magdalena,Paseo Ignacio Velasco 62,Acceso Lucas Cruz 58,15.34,50,75.32,2026-04-30 02:54:00,2026-04-30 02:59:00,2026-04-30 03:49:00
19,2099,320,320,2,finalizado,tarjeta,Barranco,San Juan de Lurigancho,Via de Selena Cañizares 21,Cañada de Elodia Galvez 53,25.31,76,66.52,2026-07-14 22:59:00,2026-07-14 23:07:00,2026-07-15 00:23:00
20,2209,22,22,2,finalizado,efectivo,Miraflores,Barranco,Calle de Cirino Roda 10 Piso 2 ,Pasaje Carmen Roma 201 Puerta 2 ,1.39,4,11.87,2026-05-23 18:46:00,2026-05-23 18:50:00,2026-05-23 18:54:00
21,18882,339,339,1,finalizado,tarjeta,Surco,Pueblo Libre,Camino de Carmina Colomer 12,Calle de Trini Pallarès 23 Piso 8 ,19.13,49,37.29,2026-05-26 15:42:00,2026-05-26 15:47:00,2026-05-26 16:36:00
22,13471,249,249,3,finalizado,tarjeta,Lince,Jesús María,Urbanización Rosaura Cámara 16 Apt. 56 ,Rambla de Mirta Campoy 80,3.73,12,20.67,2026-07-27 04:56:00,2026-07-27 05:00:00,2026-07-27 05:12:00
23,6279,56,56,2,finalizado,efectivo,San Isidro,Barranco,Pasaje Pancho Mayoral 13,Alameda de León Baños 95,11.99,33,45.15,2026-04-05 19:59:00,2026-04-05 20:00:00,2026-04-05 20:33:00
24,18034,550,550,2,finalizado,efectivo,San Isidro,San Borja,Plaza de David Julián 59 Apt. 19 ,Alameda de Tristán Vidal 7 Puerta 3 ,8.67,22,25.11,2026-08-01 14:27:00,2026-08-01 14:30:00,2026-08-01 14:52:00
25,15914,52,52,2,finalizado,tarjeta,Surco,Jesús María,Ronda Abel Vizcaíno 735 Apt. 59 ,Cañada Anunciación Mendoza 75 Puerta 4 ,26.03,97,100.28,2026-03-06 08:57:00,2026-03-06 08:59:00,2026-03-06 10:36:00
26,9348,219,219,3,finalizado,tarjeta,La Molina,San Borja,Ronda Graciana Pinilla 59,Cañada Luciano Gallo 69 Piso 7 ,11.36,45,75.60,2026-03-22 08:21:00,2026-03-22 08:24:00,2026-03-22 09:09:00
27,17767,570,570,2,finalizado,efectivo,Miraflores,Pueblo Libre,Pasadizo Ainara Doménech 5 Puerta 9 ,Urbanización Hortensia Menéndez 33 Apt. 03 ,6.29,16,19.74,2026-08-25 04:35:00,2026-08-25 04:38:00,2026-08-25 04:54:00
28,2626,322,322,1,finalizado,efectivo,Miraflores,Magdalena,Pasaje Severino Ferreras 77 Apt. 20 ,Urbanización de Gabriel Villaverde 90,25.84,81,52.67,2026-08-21 14:14:00,2026-08-21 14:23:00,2026-08-21 15:44:00
29,19482,71,71,2,finalizado,efectivo,Barranco,Pueblo Libre,Pasaje Eliseo Sobrino 689,Paseo de Victor Manuel Cuenca 57 Apt. 48 ,4.41,16,17.01,2026-05-25 15:14:00,2026-05-25 15:21:00,2026-05-25 15:37:00
30,12970,84,84,2,finalizado,efectivo,Barranco,La Molina,Callejón Valerio Berenguer 53 Piso 5 ,Vial Jerónimo Piñol 23,6.67,23,22.53,2026-06-24 04:28:00,2026-06-24 04:33:00,2026-06-24 04:56:00
31,17618,308,308,2,finalizado,efectivo,San Isidro,San Juan de Lurigancho,Alameda de Candela Solano 40 Piso 6 ,Cuesta de Adolfo Ortiz 76,13.48,53,56.71,2026-03-27 09:53:00,2026-03-27 09:54:00,2026-03-27 10:47:00
32,17801,519,519,1,finalizado,billetera,Surco,San Borja,Urbanización de Leandro Ruano 70,Rambla de Priscila Solsona 99 Apt. 69 ,24.76,70,48.74,2026-07-06 01:41:00,2026-07-06 01:43:00,2026-07-06 02:53:00
33,3783,310,310,2,finalizado,efectivo,Surco,La Molina,Ronda Elpidio Serrano 50,Glorieta de Wálter Morillo 56 Piso 4 ,9.22,31,38.87,2026-03-03 20:21:00,2026-03-03 20:30:00,2026-03-03 21:01:00
34,16562,567,567,1,finalizado,tarjeta,Callao,La Molina,Plaza de Maribel Azorin 23,Urbanización Heraclio Almagro 323,20.43,52,39.47,2026-06-11 14:01:00,2026-06-11 14:05:00,2026-06-11 14:57:00
35,10930,258,258,3,finalizado,efectivo,Miraflores,San Juan de Lurigancho,Camino Isaías Sola 35 Puerta 9 ,Cañada Cándido Amigó 79,18.20,67,73.64,2026-03-19 11:53:00,2026-03-19 11:55:00,2026-03-19 13:02:00
36,4885,269,269,1,finalizado,billetera,San Isidro,San Juan de Lurigancho,Avenida Dora Herrero 5 Puerta 9 ,Acceso Berta Romero 91,20.11,64,50.55,2026-08-08 20:49:00,2026-08-08 20:58:00,2026-08-08 22:02:00
37,6884,37,37,3,finalizado,billetera,Miraflores,Lince,Ronda Pacífica Trillo 7 Piso 7 ,Rambla de Macarena Vélez 99,4.62,12,22.41,2026-04-23 22:03:00,2026-04-23 22:10:00,2026-04-23 22:22:00
38,7758,256,256,2,finalizado,efectivo,Pueblo Libre,Surco,Ronda de Paola Ledesma 23 Piso 7 ,Camino de Emilia Pinilla 80,24.89,72,87.25,2026-07-07 18:29:00,2026-07-07 18:38:00,2026-07-07 19:50:00
39,8132,182,182,3,finalizado,tarjeta,Jesús María,Callao,Cuesta Ibán Pacheco 55 Puerta 4 ,Avenida Jose Antonio Ramos 48,20.94,58,74.93,2026-03-10 00:35:00,2026-03-10 00:38:00,2026-03-10 01:36:00
40,15084,164,164,3,finalizado,tarjeta,Barranco,San Juan de Lurigancho,Pasaje de Mónica Alemany 5 Apt. 63 ,Cuesta de Carolina Núñez 68 Piso 7 ,24.57,92,145.97,2026-04-09 08:33:00,2026-04-09 08:40:00,2026-04-09 10:12:00
41,2275,313,313,3,finalizado,tarjeta,Lince,La Molina,Callejón de Jerónimo Carrillo 25 Puerta 8 ,Glorieta Mamen Tomé 99,1.83,4,20.05,2026-05-22 20:45:00,2026-05-22 20:49:00,2026-05-22 20:53:00
42,19025,360,360,2,finalizado,tarjeta,La Molina,Surco,Glorieta Manu Gordillo 52 Apt. 82 ,Calle Carolina Manzano 27 Apt. 94 ,10.07,22,27.14,2026-07-24 12:26:00,2026-07-24 12:35:00,2026-07-24 12:57:00
43,3790,40,40,1,finalizado,tarjeta,Pueblo Libre,Magdalena,Pasaje de Noé Espinosa 5 Piso 1 ,Cuesta de Candelario Baeza 52,20.73,57,41.05,2026-08-06 05:16:00,2026-08-06 05:22:00,2026-08-06 06:19:00
44,6457,591,591,1,finalizado,tarjeta,Magdalena,Callao,Via Celestina Rico 499,Pasaje de Manuel Romeu 19 Puerta 1 ,1.25,4,6.38,2026-03-17 03:51:00,2026-03-17 03:58:00,2026-03-17 04:02:00
45,10135,442,442,1,finalizado,billetera,La Molina,Magdalena,Callejón Gertrudis Bertrán 33,Plaza Sebastian Sanjuan 174,18.98,46,36.38,2026-06-29 05:19:00,2026-06-29 05:25:00,2026-06-29 06:11:00
46,5703,419,419,2,finalizado,billetera,Jesús María,Callao,Cañada de Julia Santiago 4,Ronda Darío Gomila 34 Apt. 02 ,4.61,13,16.34,2026-06-16 15:28:00,2026-06-16 15:37:00,2026-06-16 15:50:00
47,10560,583,583,2,finalizado,tarjeta,Pueblo Libre,San Juan de Lurigancho,Pasaje de Edelmiro Solís 56 Puerta 8 ,Avenida de Elba Ariño 55 Apt. 13 ,8.89,26,26.71,2026-03-01 03:32:00,2026-03-01 03:37:00,2026-03-01 04:03:00
48,2779,453,453,2,finalizado,tarjeta,San Juan de Lurigancho,Surco,Camino de Apolinar Díez 88,Camino Tristán Téllez 8 Piso 6 ,13.88,53,57.49,2026-05-17 19:21:00,2026-05-17 19:30:00,2026-05-17 20:23:00
49,7362,528,528,2,finalizado,efectivo,Callao,La Molina,Via de Rosa Cuevas 86 Piso 6 ,Avenida de Maxi Iniesta 71,23.13,82,65.28,2026-07-01 00:55:00,2026-07-01 00:57:00,2026-07-01 02:19:00
50,18864,151,151,1,finalizado,efectivo,San Borja,Jesús María,Ronda de Baltasar Expósito 859,Glorieta Juanito Castro 87 Apt. 09 ,17.58,62,38.84,2026-05-29 03:28:00,2026-05-29 03:36:00,2026-05-29 04:38:00
51,7171,394,394,2,finalizado,efectivo,San Isidro,Jesús María,Cañada Carmen Alcalá 461,Via de Flora Correa 94,18.78,41,61.90,2026-05-28 19:58:00,2026-05-28 20:01:00,2026-05-28 20:42:00
52,18315,531,531,2,finalizado,billetera,Callao,Magdalena,Cuesta de Agustina Hervás 38 Piso 3 ,Callejón María Teresa Ribera 58,13.43,48,40.33,2026-05-30 17:31:00,2026-05-30 17:33:00,2026-05-30 18:21:00
53,15555,325,325,4,finalizado,tarjeta,San Borja,Surco,Cañada de Pilar Tovar 97,Alameda de Carmina Pi 45 Puerta 3 ,12.64,48,67.74,2026-08-09 03:15:00,2026-08-09 03:24:00,2026-08-09 04:12:00
54,9363,266,266,3,finalizado,efectivo,San Borja,San Isidro,Ronda Armando Monreal 76 Puerta 2 ,Vial Ani Mármol 8 Apt. 87 ,14.19,37,52.32,2026-06-09 23:11:00,2026-06-09 23:20:00,2026-06-09 23:57:00
55,2105,279,279,2,finalizado,tarjeta,Surco,Barranco,Ronda Sabina Cortes 8,C. de Florentina Bernat 78 Piso 7 ,5.24,15,24.16,2026-03-30 08:05:00,2026-03-30 08:08:00,2026-03-30 08:23:00
56,641,418,418,2,finalizado,billetera,Jesús María,Pueblo Libre,Urbanización Evangelina Madrigal 71,Pasaje Flavio Marí 1,2.87,10,12.86,2026-08-17 15:18:00,2026-08-17 15:25:00,2026-08-17 15:35:00
57,17896,390,390,2,finalizado,billetera,Jesús María,Magdalena,Cañada Plinio Perera 42 Puerta 6 ,Rambla Cayetano Piñeiro 337,21.39,79,61.80,2026-07-07 01:42:00,2026-07-07 01:47:00,2026-07-07 03:06:00
58,13249,226,226,2,finalizado,billetera,Callao,San Juan de Lurigancho,Callejón de Ángel Jara 8,Avenida Vasco Ojeda 546 Piso 4 ,14.22,41,52.97,2026-06-08 08:56:00,2026-06-08 09:03:00,2026-06-08 09:44:00
59,889,170,170,3,finalizado,efectivo,Pueblo Libre,Callao,Cuesta de Custodio Gálvez 69,Plaza de Paula Priego 10 Puerta 7 ,1.92,5,13.99,2026-04-16 11:13:00,2026-04-16 11:22:00,2026-04-16 11:27:00
60,10711,439,439,1,finalizado,tarjeta,Barranco,San Borja,Acceso Isidoro Falcón 242 Puerta 0 ,Calle de Cruz Patiño 51 Piso 6 ,2.55,7,8.55,2026-08-16 02:22:00,2026-08-16 02:25:00,2026-08-16 02:32:00
61,1707,389,389,1,finalizado,tarjeta,San Juan de Lurigancho,Magdalena,Vial Miriam Paz 384,Cañada de Margarita Nevado 8 Apt. 23 ,23.58,71,47.69,2026-08-01 11:41:00,2026-08-01 11:46:00,2026-08-01 12:57:00
62,4994,230,230,2,finalizado,efectivo,Miraflores,Pueblo Libre,Avenida de Morena Prat 5 Puerta 1 ,Callejón de Daniela Piquer 41 Piso 0 ,26.65,68,65.90,2026-03-15 15:46:00,2026-03-15 15:47:00,2026-03-15 16:55:00
63,19854,130,130,2,finalizado,billetera,Lince,Surco,Avenida Fabiola Simó 26 Apt. 00 ,Via de Cleto Guitart 826 Piso 8 ,13.66,36,36.83,2026-04-11 15:33:00,2026-04-11 15:37:00,2026-04-11 16:13:00
64,12299,118,118,3,finalizado,tarjeta,La Molina,Pueblo Libre,Ronda Fátima Cabeza 79 Piso 0 ,Pasaje Victor Guzman 61 Puerta 5 ,4.10,9,20.04,2026-04-29 15:00:00,2026-04-29 15:05:00,2026-04-29 15:14:00
65,3967,204,204,1,finalizado,billetera,Callao,Pueblo Libre,Callejón de Goyo Carvajal 41,Alameda Jose Francisco Casas 931,19.88,54,39.37,2026-05-28 10:03:00,2026-05-28 10:05:00,2026-05-28 10:59:00
66,16063,43,43,2,finalizado,efectivo,Miraflores,Jesús María,Urbanización Nando Coloma 304,Rambla de Damián Amigó 60,3.05,10,13.12,2026-08-03 23:13:00,2026-08-03 23:19:00,2026-08-03 23:29:00
67,17635,444,444,4,finalizado,tarjeta,Callao,La Molina,Plaza de Félix Lara 3,Avenida Alba Sanabria 28 Piso 8 ,12.87,45,106.62,2026-08-15 09:15:00,2026-08-15 09:18:00,2026-08-15 10:03:00
68,14772,477,477,2,finalizado,efectivo,San Isidro,La Molina,Pasadizo Marcial Sedano 1,Ronda de Itziar Campoy 27 Apt. 59 ,24.03,88,68.50,2026-06-06 17:16:00,2026-06-06 17:22:00,2026-06-06 18:50:00
69,6951,476,476,2,finalizado,tarjeta,Surco,San Borja,Vial Leonardo Morcillo 99,Pasadizo de Elodia Ros 2 Puerta 8 ,1.97,7,10.60,2026-07-16 23:39:00,2026-07-16 23:45:00,2026-07-16 23:52:00
70,13318,265,265,2,finalizado,tarjeta,San Isidro,Barranco,Pasaje de Susanita Gracia 85,Via de Matías Roldán 64 Apt. 71 ,1.47,5,9.23,2026-06-09 14:04:00,2026-06-09 14:13:00,2026-06-09 14:18:00
71,13252,569,569,3,finalizado,billetera,La Molina,Barranco,Avenida Toni Bárcena 92,Via de Segismundo Otero 50,13.21,29,70.21,2026-08-21 08:09:00,2026-08-21 08:17:00,2026-08-21 08:46:00
72,10840,250,250,2,finalizado,tarjeta,San Juan de Lurigancho,Magdalena,Via de Crescencia Vera 82 Apt. 15 ,Callejón Consuela Gonzalo 98 Apt. 94 ,16.03,45,58.24,2026-07-13 08:32:00,2026-07-13 08:40:00,2026-07-13 09:25:00
73,6067,465,465,1,finalizado,efectivo,San Isidro,Magdalena,Callejón Julia Mendizábal 15,Camino Gema Pérez 3,4.43,11,11.62,2026-05-31 12:47:00,2026-05-31 12:51:00,2026-05-31 13:02:00
74,7455,222,222,2,finalizado,tarjeta,Barranco,La Molina,Pasadizo Ildefonso Peñalver 67,Cañada de Lorena Morata 191,17.19,68,52.19,2026-06-09 16:05:00,2026-06-09 16:14:00,2026-06-09 17:22:00
75,16086,184,184,2,finalizado,efectivo,La Molina,Surco,Calle Ileana Bilbao 77,Ronda de Leandro Garriga 715 Apt. 49 ,2.42,5,10.61,2026-04-16 02:05:00,2026-04-16 02:10:00,2026-04-16 02:15:00
76,15655,13,13,2,finalizado,efectivo,Miraflores,La Molina,Calle de Isidro Prats 400 Piso 3 ,Cañada de Nacio Carretero 8,13.00,32,34.59,2026-08-18 21:39:00,2026-08-18 21:47:00,2026-08-18 22:19:00
77,8133,67,67,2,finalizado,efectivo,La Molina,San Isidro,Vial Ricardo Grau 285 Piso 0 ,Pasaje África Bermejo 79 Puerta 6 ,5.27,19,19.22,2026-03-27 23:20:00,2026-03-27 23:21:00,2026-03-27 23:40:00
78,14052,572,572,3,finalizado,tarjeta,La Molina,Pueblo Libre,Via de Sandalio Almansa 82 Puerta 5 ,Via de Jose Francisco Ruano 268,11.39,43,49.56,2026-05-22 04:05:00,2026-05-22 04:14:00,2026-05-22 04:57:00
79,7860,583,583,2,finalizado,efectivo,San Isidro,Surco,Alameda de Ismael Mínguez 91 Puerta 1 ,Acceso de Lucía Coloma 31,17.96,48,46.90,2026-04-06 03:06:00,2026-04-06 03:10:00,2026-04-06 03:58:00
80,7586,566,566,1,finalizado,tarjeta,La Molina,Miraflores,Rambla Eligia Coronado 3 Puerta 7 ,Camino de Fernanda Moraleda 82 Apt. 77 ,13.27,43,29.35,2026-03-01 23:22:00,2026-03-01 23:29:00,2026-03-02 00:12:00
81,6483,290,290,2,finalizado,tarjeta,Callao,Pueblo Libre,Camino de Basilio Ortiz 814 Piso 0 ,Cañada de Carmelo Bosch 798,19.62,75,78.23,2026-08-13 07:23:00,2026-08-13 07:25:00,2026-08-13 08:40:00
82,19499,118,118,2,finalizado,billetera,Surco,La Molina,Pasaje Violeta Fabra 89 Puerta 2 ,Via de Obdulia Nuñez 9,23.35,54,56.64,2026-04-24 05:53:00,2026-04-24 05:58:00,2026-04-24 06:52:00
83,16400,583,583,3,finalizado,billetera,Jesús María,La Molina,Urbanización Laura Río 98,Acceso de Yéssica Luna 66,13.76,37,51.48,2026-08-07 21:22:00,2026-08-07 21:24:00,2026-08-07 22:01:00
84,7502,506,506,2,finalizado,billetera,Miraflores,San Isidro,Avenida de Narciso Busquets 564,Avenida de Dafne Cid 74,20.89,68,57.55,2026-03-15 12:18:00,2026-03-15 12:25:00,2026-03-15 13:33:00
85,17006,590,590,2,finalizado,billetera,Surco,San Borja,Cañada Celia Peñas 92,Pasadizo de Porfirio Alfaro 34,16.64,59,48.51,2026-03-08 13:16:00,2026-03-08 13:21:00,2026-03-08 14:20:00
86,11402,453,453,3,finalizado,tarjeta,San Isidro,San Borja,Cuesta de Gregorio Gonzalo 22,Pasadizo María Manuela Zurita 6 Puerta 2 ,18.21,56,68.71,2026-05-06 01:52:00,2026-05-06 01:59:00,2026-05-06 02:55:00
87,13123,342,342,2,finalizado,billetera,La Molina,Callao,Rambla Gerardo Daza 70 Piso 3 ,Pasaje de Joaquín Haro 47 Piso 9 ,10.04,34,30.94,2026-04-08 02:00:00,2026-04-08 02:03:00,2026-04-08 02:37:00
88,38,38,38,2,finalizado,billetera,Jesús María,Magdalena,Cañada de Mayte Piña 386 Apt. 92 ,Cuesta Sandra Pera 218 Piso 1 ,9.86,38,31.96,2026-06-23 12:17:00,2026-06-23 12:22:00,2026-06-23 13:00:00
89,14485,556,556,2,finalizado,efectivo,San Borja,Callao,Pasaje de Vicenta Vilanova 26,Acceso de Amando Ribera 7,15.09,50,43.38,2026-03-20 17:38:00,2026-03-20 17:42:00,2026-03-20 18:32:00
90,19952,209,209,1,finalizado,efectivo,San Isidro,Miraflores,C. Ceferino Perera 60 Apt. 52 ,Cañada Yéssica Sureda 87,12.94,44,29.23,2026-04-17 16:48:00,2026-04-17 16:53:00,2026-04-17 17:37:00
91,3850,163,163,2,finalizado,billetera,San Isidro,San Borja,Plaza José María Garriga 98,Cañada Jordán Mascaró 1 Apt. 69 ,12.13,31,33.01,2026-03-05 23:29:00,2026-03-05 23:38:00,2026-03-06 00:09:00
92,7987,158,158,2,finalizado,tarjeta,San Borja,San Juan de Lurigancho,Via Piedad Valero 980 Puerta 3 ,Ronda de Abel Osorio 79,20.11,59,53.54,2026-06-15 06:19:00,2026-06-15 06:28:00,2026-06-15 07:27:00
93,13597,565,565,1,finalizado,tarjeta,San Isidro,La Molina,Pasadizo Poncio Bauzà 988,Cuesta de Armando Pombo 14,21.20,51,48.08,2026-05-09 09:34:00,2026-05-09 09:43:00,2026-05-09 10:34:00
94,16045,520,520,1,finalizado,efectivo,Pueblo Libre,Callao,Acceso Jose Angel Calleja 152 Piso 8 ,Pasaje Josefa Tejero 22 Puerta 7 ,20.66,76,45.73,2026-03-01 22:24:00,2026-03-01 22:29:00,2026-03-01 23:45:00
95,6182,458,458,2,finalizado,billetera,San Borja,Lince,Glorieta de Armando Flores 6,Paseo de Ainara Isern 4 Piso 5 ,15.99,50,44.69,2026-07-04 15:44:00,2026-07-04 15:50:00,2026-07-04 16:40:00
96,12652,245,245,2,finalizado,billetera,San Juan de Lurigancho,Jesús María,Callejón de Edelmiro Pedro 86,Rambla de Anabel Valencia 58 Apt. 61 ,2.37,8,11.50,2026-05-25 00:53:00,2026-05-25 01:00:00,2026-05-25 01:08:00
97,3268,156,156,2,finalizado,billetera,San Isidro,San Borja,Paseo Lázaro Montesinos 2 Piso 4 ,Ronda de Flavio Saldaña 17 Puerta 5 ,14.66,47,41.80,2026-03-14 11:28:00,2026-03-14 11:31:00,2026-03-14 12:18:00
98,8685,468,468,1,finalizado,tarjeta,San Isidro,San Borja,Calle de Carlito Ramis 38 Apt. 29 ,Vial Bonifacio Guzman 75 Puerta 0 ,24.54,96,54.99,2026-04-22 11:38:00,2026-04-22 11:45:00,2026-04-22 13:21:00
99,17729,408,408,2,finalizado,efectivo,San Juan de Lurigancho,San Borja,Acceso de Ramiro Saldaña 3,Alameda de Florentina Lopez 11 Puerta 2 ,11.38,31,31.92,2026-06-28 15:02:00,2026-06-28 15:11:00,2026-06-28 15:42:00
100,3294,71,71,1,finalizado,tarjeta,San Isidro,Callao,Paseo de Desiderio Juárez 47 Puerta 4 ,Via Elpidio Benavent 82 Apt. 55 ,21.21,63,43.08,2026-06-13 15:09:00,2026-06-13 15:13:00,2026-06-13 16:16:00
101,14113,171,171,2,finalizado,efectivo,Lince,San Juan de Lurigancho,Cañada de Renata Criado 95,Glorieta Mónica Chamorro 17,9.89,22,26.88,2026-03-11 12:56:00,2026-03-11 12:57:00,2026-03-11 13:19:00
102,7892,251,251,2,finalizado,tarjeta,Jesús María,Pueblo Libre,Pasaje de Nieves Castilla 511 Piso 7 ,Camino de Candelario Casares 81 Piso 8 ,5.89,19,20.12,2026-05-05 13:21:00,2026-05-05 13:24:00,2026-05-05 13:43:00
103,17911,598,598,1,finalizado,efectivo,San Borja,La Molina,Paseo Felicidad Espada 96 Apt. 18 ,Rambla de Felix Mora 95,13.52,45,30.12,2026-08-15 21:35:00,2026-08-15 21:40:00,2026-08-15 22:25:00
104,9900,76,76,2,finalizado,efectivo,La Molina,San Borja,Callejón Haroldo Llobet 94 Apt. 82 ,Alameda Purificación Armengol 2,18.32,54,66.61,2026-07-04 19:35:00,2026-07-04 19:40:00,2026-07-04 20:34:00
105,719,394,394,3,finalizado,billetera,La Molina,San Juan de Lurigancho,Glorieta de María Fernanda Riera 907,Cuesta de Jose Ignacio Ramis 27 Puerta 0 ,11.42,32,67.00,2026-04-08 19:57:00,2026-04-08 20:01:00,2026-04-08 20:33:00
106,11545,406,406,1,finalizado,efectivo,Barranco,Pueblo Libre,Ronda de Alondra Sobrino 35,Acceso de Sabas Castrillo 98 Apt. 53 ,23.52,89,62.55,2026-03-18 20:33:00,2026-03-18 20:41:00,2026-03-18 22:10:00
107,1094,195,195,2,finalizado,billetera,La Molina,San Borja,Callejón Vinicio Huguet 11 Piso 6 ,Rambla Odalys Morán 353 Piso 8 ,25.41,85,93.89,2026-04-19 19:11:00,2026-04-19 19:13:00,2026-04-19 20:38:00
108,17676,374,374,2,finalizado,tarjeta,Barranco,Surco,Cañada de Anastasia Alvarado 7 Puerta 7 ,Camino Patricio Atienza 5,9.96,29,39.45,2026-04-02 19:35:00,2026-04-02 19:40:00,2026-04-02 20:09:00
109,11100,544,544,2,finalizado,efectivo,San Borja,La Molina,Cañada de Brunilda Aguiló 7 Apt. 45 ,Calle de Salvador Azcona 683 Puerta 4 ,8.09,29,26.51,2026-06-08 05:22:00,2026-06-08 05:25:00,2026-06-08 05:54:00
110,11986,480,480,4,finalizado,efectivo,Jesús María,Magdalena,Pasadizo de Virgilio Losa 391,Acceso de Narcisa Nicolau 452,24.25,84,115.40,2026-04-21 05:57:00,2026-04-21 06:01:00,2026-04-21 07:25:00
111,12486,405,405,1,finalizado,billetera,La Molina,Pueblo Libre,Calle Antonio Cerro 97 Piso 2 ,Alameda de Fermín Pozo 649,11.08,39,25.94,2026-04-14 23:56:00,2026-04-15 00:04:00,2026-04-15 00:43:00
112,19992,381,381,1,finalizado,efectivo,Magdalena,Lince,Cuesta de Olalla Alegria 25 Piso 9 ,Cuesta Juan Manuel Goñi 8 Apt. 89 ,1.87,7,7.81,2026-05-25 03:10:00,2026-05-25 03:18:00,2026-05-25 03:25:00
