id,viaje_id,orden,distrito,direccion,latitud,longitud,llegada_en
130,236,1,Miraflores,Rambla Delia Bejarano 881 Piso 4 ,-12.148379,-77.090235,2026-05-12 19:14:00
131,237,1,Surco,Acceso Zaira Espejo 72 Piso 9 ,-12.003789,-77.093444,2026-04-17 22:17:00
132,240,1,Callao,Acceso de Maite Suárez 21 Puerta 0 ,-12.122364,-76.975281,2026-07-19 01:28:00
133,241,1,San Borja,Rambla de Sol Viña 95,-12.172895,-77.013276,2026-07-12 11:27:00
134,241,2,Jesús María,Calle de Concepción Viña 63 Piso 5 ,-12.039435,-76.926724,2026-06-09 12:55:00
135,243,1,Lince,Pasaje de Consuela Quintanilla 56 Puerta 7 ,-11.957794,-76.947396,2026-08-02 17:55:00
136,246,1,San Juan de Lurigancho,Vial de Jose Francisco Gibert 427,-11.954060,-76.989147,2026-06-24 04:19:00
137,247,1,Barranco,Pasadizo Febe Iniesta 915 Puerta 6 ,-12.074966,-77.081873,2026-08-12 12:20:00
138,256,1,La Molina,Urbanización de Reyes Alfonso 99,-12.018658,-77.009881,2026-08-25 04:54:00
139,256,2,Pueblo Libre,Avenida de Glauco Rosales 95 Apt. 98 ,-12.093807,-76.918395,2026-03-07 13:32:00
140,257,1,La Molina,Pasadizo Guiomar Barragán 21,-12.168077,-77.095817,2026-08-02 20:33:00
141,259,1,San Juan de Lurigancho,Pasaje Gonzalo Cárdenas 533,-12.137242,-77.072789,2026-08-06 15:59:00
142,265,1,Lince,Callejón de Cleto Leon 18 Apt. 57 ,-12.082107,-76.943079,2026-07-03 19:22:00
143,270,1,San Borja,Acceso Eladio Olivares 84 Puerta 1 ,-12.137606,-77.074485,2026-08-02 23:32:00
144,270,2,Surco,Acceso Isaura Nogueira 47 Puerta 4 ,-12.031166,-76.908556,2026-05-07 06:52:00
145,273,1,Lince,Pasaje Inocencio Torres 26 Apt. 07 ,-12.110438,-77.111503,2026-07-07 10:03:00
146,274,1,Lince,Camino de Fortunata Alemán 90 Apt. 20 ,-12.008468,-77.017861,2026-05-25 03:55:00
147,277,1,Magdalena,Alameda Marcelino Amorós 89,-12.070254,-77.064039,2026-06-07 01:08:00
148,278,1,San Borja,Paseo Manuelita Hernandez 7 Apt. 48 ,-12.156529,-76.986720,2026-03-10 16:26:00
149,280,1,La Molina,Acceso Sara Roig 161 Puerta 1 ,-12.094563,-77.007725,2026-06-25 13:10:00
150,282,1,Miraflores,Camino de Daniel Martínez 41 Puerta 3 ,-12.024453,-76.979375,2026-07-31 12:01:00
151,284,1,Callao,Ronda de Rico Mur 866,-12.065438,-76.953381,2026-08-30 10:45:00
152,284,2,La Molina,C. de Cipriano Calvo 91 Apt. 14 ,-12.155619,-76.937661,2026-05-26 13:01:00
153,285,1,Barranco,Pasadizo Rosaura Toro 7 Puerta 5 ,-12.065989,-77.005725,2026-04-03 19:31:00
154,285,2,Magdalena,Ronda Jose Manuel Aramburu 557,-12.181245,-76.911670,2026-03-02 01:08:00
155,286,1,Callao,Plaza de Maximiliano Moles 19,-12.196295,-77.070197,2026-06-09 00:34:00
156,286,2,La Molina,Via Anselma Contreras 35,-12.111981,-77.079125,2026-07-28 19:58:00
157,287,1,Magdalena,C. de Amancio Pozo 7,-11.991415,-77.001247,2026-05-07 05:09:00
158,288,1,Magdalena,Paseo de Macaria Diego 9,-12.162644,-77.137140,2026-08-17 23:59:00
159,289,1,Barranco,Via Nilo Villalobos 43,-12.005345,-76.967752,2026-05-22 20:47:00
160,290,1,San Isidro,Callejón de Camilo Montoya 11,-12.114918,-76.903835,2026-03-18 10:35:00
161,295,1,Miraflores,Camino de Anastasia Perea 967 Apt. 07 ,-12.042265,-77.078205,2026-08-16 04:04:00
162,297,1,Barranco,Urbanización de Simón Salmerón 225,-11.954121,-76.996029,2026-03-24 17:24:00
163,298,1,San Juan de Lurigancho,Cuesta de Serafina Salmerón 838 Apt. 53 ,-12.192427,-77.080585,2026-03-13 09:05:00
164,299,1,La Molina,Callejón Leocadia Zaragoza 571 Puerta 1 ,-12.198942,-77.090666,2026-03-02 22:55:00
165,299,2,Miraflores,Cañada Cebrián Lucena 47,-12.102142,-77.019993,2026-04-24 13:32:00
166,300,1,Surco,Acceso de Ofelia Azcona 167 Piso 1 ,-12.153392,-76.948383,2026-03-06 21:38:00
167,300,2,San Juan de Lurigancho,Vial de Morena Pareja 89,-12.002959,-76.958406,2026-05-06 16:57:00
168,303,1,San Juan de Lurigancho,Rambla de Herminia Madrid 52 Piso 7 ,-12.147761,-76.970546,2026-05-09 16:00:00
169,305,1,San Isidro,Avenida Yésica Puerta 6,-12.156492,-76.908851,2026-08-26 08:31:00
170,312,1,Miraflores,Pasaje de Baldomero Romero 32 Piso 0 ,-12.037357,-77.056314,2026-06-04 03:26:00
171,316,1,Jesús María,Vial Sofía Peinado 356,-12.192614,-76.934974,2026-07-02 05:46:00
172,318,1,Miraflores,Plaza Diego Ricart 41,-12.118304,-76.996448,2026-03-27 20:54:00
173,326,1,San Isidro,Vial Graciana Carvajal 43,-11.960176,-76.973310,2026-05-29 04:13:00
174,327,1,Surco,Vial de Anselma Mir 67 Apt. 58 ,-12.103755,-77.001149,2026-05-30 04:27:00
175,327,2,Surco,Alameda Melania Morante 85 Apt. 16 ,-12.049428,-77.060258,2026-07-12 17:42:00
176,328,1,San Juan de Lurigancho,Calle Jerónimo Rodrigo 16,-12.036571,-76.901849,2026-03-30 21:10:00
177,331,1,Lince,Pasaje Alberto Neira 55,-12.106265,-76.948649,2026-08-15 12:51:00
178,331,2,Miraflores,Via Jose Ramón Azorin 32,-12.174260,-77.086680,2026-06-16 14:47:00
179,332,1,Lince,Cuesta Octavia Báez 947 Apt. 31 ,-11.950611,-77.023196,2026-06-19 19:33:00
180,333,1,Callao,Pasadizo de Cloe Giner 3 Apt. 77 ,-12.033077,-76.986134,2026-05-19 19:23:00
181,335,1,Surco,Paseo Ceferino Pazos 916,-12.057425,-77.141083,2026-08-04 17:44:00
182,336,1,Miraflores,C. Emigdio Arjona 60,-11.974994,-77.049399,2026-04-15 02:48:00
183,336,2,Jesús María,Cañada de Leonel Orozco 71,-12.013813,-76.904843,2026-07-02 01:16:00
184,337,1,Miraflores,Plaza Marta Torre 99 Puerta 0 ,-12.069715,-77.132325,2026-04-18 03:58:00
185,342,1,Barranco,Acceso Baldomero Casares 535,-12.026155,-77.007170,2026-08-22 22:37:00
186,343,1,Magdalena,Calle Rosaura Arias 81 Puerta 6 ,-12.170339,-77.034908,2026-06-30 18:40:00
187,345,1,San Borja,Acceso de Eustaquio Pi 278,-12.124205,-77.146736,2026-03-03 00:41:00
188,346,1,Callao,Glorieta Lara Cortina 17 Apt. 95 ,-12.065654,-77.129888,2026-05-20 00:32:00
189,346,2,Pueblo Libre,Ronda de Elpidio Blanca 15 Apt. 94 ,-12.016132,-77.002241,2026-08-23 01:29:00
190,348,1,Pueblo Libre,Via de Bárbara Andreu 41 Puerta 3 ,-11.981963,-76.956115,2026-08-25 09:15:00
191,349,1,San Borja,Camino Anastasia Quirós 52,-12.188718,-76.913214,2026-04-16 08:21:00
192,351,1,Jesús María,Plaza Marc Parra 279 Puerta 0 ,-12.053343,-76.955847,2026-06-22 10:56:00
193,352,1,Surco,Alameda Alondra Cisneros 65,-12.198828,-77.003178,2026-07-05 21:02:00
194,352,2,San Juan de Lurigancho,Vial de Marcela Torrent 46 Apt. 19 ,-12.124831,-77.043320,2026-05-22 15:14:00
195,353,1,Jesús María,Camino Severo Cervera 44 Puerta 3 ,-12.106475,-77.034771,2026-08-27 11:22:00
196,353,2,Lince,Glorieta Ágata Padilla 35 Apt. 62 ,-12.033540,-76.934850,2026-06-03 05:31:00
197,357,1,San Isidro,Calle Mónica Valls 22 Puerta 0 ,-12.059756,-76.970001,2026-03-01 19:57:00
198,357,2,Barranco,Ronda de Joan Poza 86,-12.120724,-76.972252,2026-08-25 06:25:00
199,359,1,Callao,Glorieta Mamen Sancho 65,-12.195911,-77.107901,2026-08-16 01:55:00
200,359,2,San Juan de Lurigancho,Callejón de Berta Guillen 909,-12.177609,-76.918255,2026-03-11 08:57:00
201,363,1,La Molina,Calle de Felipa Amorós 92 Puerta 1 ,-12.056275,-76.955097,2026-04-23 20:02:00
202,363,2,Jesús María,Vial de Fabio Sanchez 114,-12.092095,-77.114460,2026-04-07 15:30:00
203,367,1,Barranco,Camino de Fito Posada 85,-12.052391,-76.914654,2026-04-29 13:16:00
204,367,2,La Molina,Acceso de Rómulo Bertrán 98 Puerta 8 ,-12.149972,-77.116065,2026-03-31 17:43:00
205,373,1,Lince,Acceso Elvira Jimenez 2,-12.020390,-77.079993,2026-05-20 23:58:00
206,378,1,Surco,Ronda Fortunata Bartolomé 779,-12.181964,-77.022604,2026-06-18 14:39:00
207,387,1,Miraflores,Vial de Soledad Falcón 470,-12.181006,-77.077960,2026-04-21 08:35:00
208,388,1,Pueblo Libre,Rambla Emelina Carbajo 5,-11.973565,-77.048387,2026-05-16 19:49:00
209,389,1,Lince,Urbanización de Che Becerra 4,-11.950869,-76.955993,2026-08-16 11:33:00
210,392,1,Pueblo Libre,Pasaje Dominga Zapata 50 Puerta 6 ,-12.119703,-77.041812,2026-04-25 01:04:00
211,393,1,Barranco,Pasadizo de Eligio Amores 86,-12.107001,-77.133781,2026-07-01 21:02:00
212,394,1,La Molina,Pasaje de Elisabet Mora 917,-12.094996,-76.937616,2026-07-05 12:11:00
213,394,2,San Borja,Pasadizo de María Del Carmen Páez 1 Puerta 7 ,-11.978861,-77.048525,2026-07-17 10:11:00
214,396,1,San Isidro,Via de Fortunato Calderon 9,-12.043068,-77.135296,2026-08-08 05:52:00
215,396,2,La Molina,Vial Consuelo Mayol 9,-12.100457,-77.131677,2026-03-21 09:25:00
216,397,1,Jesús María,C. Perlita Dueñas 2 Puerta 5 ,-12.138621,-77.095854,2026-03-29 10:04:00
217,404,1,Jesús María,C. Edu Santiago 319 Piso 5 ,-12.084089,-76.910279,2026-07-05 01:49:00
218,407,1,Magdalena,Plaza de Ricarda Tapia 99,-11.990255,-77.125791,2026-07-25 19:03:00
219,407,2,Pueblo Libre,Pasadizo Marc Galvez 59,-12.068524,-77.075981,2026-05-26 00:01:00
220,408,1,Jesús María,Acceso de Otilia Barriga 32,-11.975564,-77.136178,2026-05-28 09:21:00
221,411,1,Miraflores,Vial Azahar Mercader 26 Piso 7 ,-12.186778,-77.147044,2026-08-14 21:28:00
222,411,2,San Borja,Pasaje Noé Clemente 74 Puerta 8 ,-12.199920,-77.102538,2026-06-30 11:47:00
223,416,1,Magdalena,Rambla Francisca Marin 89 Puerta 8 ,-12.127505,-77.001557,2026-05-14 16:00:00
224,416,2,La Molina,Rambla Emiliano Cal 56,-12.030166,-77.073585,2026-08-02 09:13:00
225,417,1,La Molina,Ronda de Jordi Sobrino 96,-11.963975,-76.993555,2026-04-17 00:08:00
226,420,1,La Molina,Pasaje María Dolores Espinosa 92,-12.090491,-77.134627,2026-04-20 04:43:00
227,421,1,Callao,Vial de Ruben Carrasco 656 Apt. 00 ,-12.019046,-76.910789,2026-05-14 19:31:00
228,422,1,Miraflores,Callejón Raquel Mínguez 323 Apt. 11 ,-12.077780,-76.921434,2026-03-17 04:15:00
229,423,1,Lince,Vial Lucio Benito 7,-12.137888,-77.061279,2026-04-11 01:51:00
230,423,2,Miraflores,Acceso de Águeda Arcos 2 Piso 0 ,-12.165650,-77.110873,2026-03-20 15:08:00
231,425,1,La Molina,Cañada Bárbara Sabater 382 Puerta 3 ,-12.099308,-76.916397,2026-04-26 15:08:00
232,427,1,San Juan de Lurigancho,Glorieta Rosa María Guillen 7,-12.055515,-77.033694,2026-04-30 04:55:00
233,429,1,Callao,C. Lisandro Cámara 39,-12.087395,-76.948999,2026-07-04 14:08:00
234,429,2,Barranco,Via Juan Carlos Luz 95 Apt. 68 ,-11.998578,-77.040977,2026-03-25 11:07:00
235,432,1,Pueblo Libre,Ronda Úrsula Calvo 15,-12.155955,-76.994714,2026-07-11 08:50:00
236,437,1,Lince,Calle Arsenio Clemente 85,-12.010563,-77.006828,2026-05-09 23:43:00
237,438,1,Magdalena,Plaza Olimpia Arenas 648,-11.978914,-76.959895,2026-07-01 06:54:00
238,439,1,Magdalena,Ronda Lino Vila 62 Apt. 22 ,-12.095665,-76.978272,2026-05-03 10:09:00
239,439,2,Miraflores,Camino Jose Ramón Barros 61 Apt. 01 ,-12.193855,-77.022228,2026-05-23 19:39:00
240,441,1,La Molina,Avenida de Laura Cueto 788,-12.130048,-77.044184,2026-06-30 06:48:00
241,447,1,Surco,C. Angélica Benavente 59 Apt. 35 ,-12.108490,-76.915393,2026-06-02 08:43:00
242,452,1,La Molina,Acceso de Anastasia Mendoza 83 Apt. 86 ,-12.053680,-76.917303,2026-07-24 01:36:00
243,452,2,San Juan de Lurigancho,Urbanización de Hortensia Carballo 88 Puerta 1 ,-12.040344,-77.118722,2026-06-23 20:51:00
